Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
bålsta däck,20,,0.56,0.13,,,,"1.00,0.20,0.20,0.80,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20"
böter per däck,20,,0.72,0.04,,,,"0.11,0.11,0.44,0.11,0.11,0.22,1.00,0.11,0.11,0.11,0.33,0.11"
c däck husvagn,20,,0.57,1.00,,,,"0.06,0.06,0.65,0.82,1.00,0.06,0.06,0.06,0.06,0.82,0.06,0.06"
c däck till släpvagn,20,,0.60,1.00,,,,"1.00,0.20,0.20,0.20,0.20,0.40,0.20,0.40,0.20,0.20,0.20,0.20"
dalarö däck,20,,0.66,0.14,,,,"0.20,0.60,0.80,1.00,0.60,0.20,0.20,0.20,0.20,0.40,0.20,0.80"
dannes däck,20,,0.56,0.16,,,,"0.03,0.03,0.03,0.34,0.03,0.06,0.06,0.03,0.06,0.03,1.00,0.03"
de ger ro på däck,20,,0.62,0.06,,,,"0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.29"
dot däck,20,,0.65,0.30,,,,"0.08,0.03,0.03,0.03,0.03,0.13,0.05,0.18,0.08,1.00,0.18,0.03"
dubba däck pris,20,,0.53,1.00,,,,"0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33"
dubbning av däck,20,,0.50,1.00,,,,"0.25,1.00,0.25,0.75,0.25,0.25,0.50,0.25,1.00,0.50,0.50,0.25"
dubbpistol däck,20,,0.50,1.00,,,,"1.00,0.33,0.33,0.33,0.33,0.33,0.67,1.00,0.67,0.33,0.33,0.33"
däck 16.9 30,20,,0.59,0.96,,,,"0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.67,0.33,0.33,0.33,0.33"
däck 165 70 r13,20,,0.52,0.95,,,,"1.00,0.14,0.43,0.57,0.14,0.57,0.14,0.14,0.71,0.14,0.14,0.71"
däck 175 70r14,20,,0.63,1.00,,,,"0.20,0.20,0.40,0.20,0.20,1.00,0.80,0.60,0.20,0.80,1.00,0.20"
däck 19 tum,20,,0.53,1.00,,,,"0.02,0.01,0.16,1.00,0.13,0.01,0.01,0.05,0.01,0.06,0.01,0.01"
däck 205 55 r16 blocket,20,,0.56,0.99,,,,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14"
däck 215 45 r17,20,,0.51,1.00,,,,"0.11,0.11,0.44,1.00,0.11,0.11,0.11,0.11,0.44,0.78,0.11,0.11"
däck 215 65 r16,20,,0.56,1.00,,,,"0.04,0.04,0.04,1.00,0.04,0.04,0.12,0.04,0.04,0.42,0.04,0.04"
däck 215 75r16c,20,,0.68,1.00,,,,"0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29"
däck 235 55 r17,20,,0.53,1.00,,,,"0.02,0.02,0.08,1.00,0.02,0.02,0.15,0.02,0.02,0.02,0.02,0.10"
däck 255 35 r20,20,,0.52,1.00,,,,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,1.00,0.33,0.33"
däck 360,20,,0.78,1.00,,,,"0.20,0.20,1.00,0.40,0.20,0.40,0.20,0.40,0.20,0.20,0.40,0.20"
däck audi a3,20,,0.57,0.98,,,,"0.33,0.33,1.00,0.11,0.11,0.11,0.44,0.11,0.78,0.11,0.11,0.44"
däck bert,20,,0.81,0.05,,,,"0.05,0.14,0.67,0.52,0.10,0.14,0.05,0.05,0.05,0.05,1.00,0.05"
däck bilder,20,,0.69,0.93,,,,"0.14,0.14,0.43,0.14,0.14,0.29,0.14,0.14,1.00,0.14,0.14,0.14"
däck bmw x5,20,,0.55,1.00,,,,"0.14,0.14,0.14,0.14,0.29,1.00,0.14,0.14,0.43,0.29,0.43,1.00"
däck byta,20,,1.42,0.99,,,,"0.11,0.56,0.11,0.11,0.44,0.78,0.11,0.11,0.22,1.00,0.11,0.33"
däck danderyd,20,,0.63,0.18,,,,"0.14,1.00,0.29,0.43,0.14,0.14,0.14,0.29,0.71,0.14,0.14,0.71"
däck delar namn,20,,0.51,0.42,,,,"0.11,0.11,0.11,0.78,0.78,1.00,0.11,0.11,0.33,0.11,0.11,0.11"
däck delbetalning,20,,0.79,1.00,,,,"0.20,0.20,0.80,0.20,0.20,0.20,0.40,0.20,0.20,1.00,0.20,0.20"
däck dimensions omvandlare,20,,0.57,0.18,,,,"0.07,0.14,0.07,1.00,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07"
däck dubb,20,,0.60,1.00,,,,"0.14,0.14,0.14,0.57,0.14,0.14,0.14,1.00,0.71,0.14,0.29,0.14"
däck firmor,20,,0.76,0.24,,,,"0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33"
däck fälg i skövde ab,20,,0.53,0.20,,,,"0.14,0.14,0.14,0.71,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14"
däck gamlestaden,20,,0.57,0.26,,,,"0.20,1.00,0.40,0.20,0.20,0.20,0.20,0.00,0.40,0.40,0.40,0.20"
däck golfbil,20,,0.65,1.00,,,,"0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.75,0.25,0.25"
däck goodride,20,,0.58,0.95,,,,"0.25,0.75,0.75,0.50,0.75,0.25,0.25,0.25,0.25,0.25,0.50,1.00"
däck i eslöv,20,,0.53,0.34,,,,"0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75,0.25"
däck i kungälv,20,,0.56,0.42,,,,"0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.20,0.20,0.20,0.40,0.40"
däck i väst ab,20,,0.63,0.11,,,,"0.43,0.14,0.43,0.14,0.14,0.14,0.43,0.43,0.14,0.43,1.00,0.14"
däck kia ceed,20,,0.64,1.00,,,,"0.14,0.14,0.57,0.14,0.14,0.14,0.71,0.29,0.14,0.14,1.00,0.14"
däck kungsholmen,20,,0.75,0.44,,,,"0.43,0.14,0.14,0.29,0.14,0.14,0.14,0.29,0.14,0.14,1.00,0.43"
däck kärra,20,,0.51,1.00,,,,"0.14,0.14,0.14,0.57,0.14,0.14,0.29,1.00,0.14,0.14,0.43,0.14"
däck med färgad rök,20,,0.60,0.99,,,,"1.00,0.20,0.40,0.20,0.40,0.20,0.20,0.20,0.80,0.20,0.20,0.20"
däck med lågt rullmotstånd,20,,0.60,0.95,,,,"1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.71,0.71,0.71,0.14,0.14"
däck och bromsbytarna,20,,0.60,0.15,,,,"0.67,0.67,1.00,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.33,1.00"
däck och fälg helsingborg,20,,0.67,0.61,,,,"0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.67,0.33,0.33"
däck och fälg online,20,,0.86,0.96,,,,"0.02,0.03,0.07,0.03,0.02,0.03,0.02,0.02,0.02,0.02,1.00,0.02"
däck offroad,20,,0.55,1.00,,,,"0.57,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.71,0.14,0.14"
däck online billiga,20,,0.80,1.00,,,,"0.00,0.00,0.00,1.00,0.03,0.03,0.03,0.08,0.03,0.03,0.05,0.03"
däck online fälgar,20,,0.70,1.00,,,,"0.50,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.00,0.25,0.25,0.50"
däck online jönköping,20,,0.60,0.62,,,,"0.03,0.03,0.67,0.44,0.23,0.03,0.03,0.05,0.13,1.00,0.44,0.03"
däck online kristianstad,20,,0.55,0.74,,,,"0.14,0.71,0.14,0.14,0.14,0.43,0.57,0.14,0.14,1.00,0.14,0.14"
däck online sommardäck,20,,0.68,0.84,,,,"0.00,0.00,1.00,0.09,0.18,0.09,0.27,0.09,0.09,0.18,0.09,0.09"
däck orminge,20,,0.77,0.16,,,,"1.00,0.22,0.11,0.11,0.11,0.56,0.11,0.56,0.22,0.11,0.11,0.11"
däck på internet,20,,1.16,1.00,,,,"0.14,0.57,0.14,0.29,0.29,0.29,0.14,0.57,0.14,1.00,0.29,0.14"
däck på nätet fraktfritt,20,,0.68,1.00,,,,"0.11,1.00,0.22,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.22,0.11"
däck rabatt,20,,1.00,0.75,,,,"0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20"
däck regummerade,20,,0.50,1.00,,,,"0.20,1.00,0.80,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.60,0.20"
däck runflat,20,,0.56,1.00,,,,"0.56,0.11,0.11,1.00,0.78,0.11,0.44,0.11,0.44,0.11,1.00,0.11"
däck saab 9 3 sportcombi,20,,0.64,0.89,,,,"0.33,0.33,0.67,0.67,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33"
däck skruvat,20,,1.09,1.00,,,,"0.25,0.25,0.25,0.75,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.50"
däck slicks,20,,0.57,0.93,,,,"0.20,0.20,0.60,0.20,0.40,0.20,0.20,0.20,1.00,0.20,0.20,0.20"
däck slitage,20,,0.68,0.09,,,,"0.29,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.29,1.00,0.14"
däck slitagevarnare,20,,0.72,0.41,,,,"1.00,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50"
däck subaru outback,20,,0.56,1.00,,,,"0.14,1.00,0.14,0.14,0.14,0.57,0.14,1.00,0.14,0.14,0.14,0.14"
däck sundsvall birsta,20,,0.61,0.13,,,,"0.11,0.11,0.22,1.00,0.11,0.56,0.11,0.11,0.11,0.11,0.22,0.11"
däck sävsjö,20,,0.56,0.15,,,,"0.14,1.00,0.14,1.00,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14"
däck tagene,20,,0.64,0.45,,,,"0.01,0.01,0.01,0.01,0.10,0.01,0.01,0.01,1.00,0.01,0.05,0.01"
däck till 18 tums fälgar,20,,0.52,1.00,,,,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.29,0.43,0.14,0.14"
däck till 8.5 fälg,20,,0.62,0.95,,,,"0.06,0.03,0.44,1.00,0.03,0.13,0.03,0.03,0.03,0.03,0.03,0.03"
däck till audi a4,20,,0.52,0.94,,,,"0.11,0.33,0.11,1.00,0.11,0.11,0.11,0.11,0.56,0.11,0.11,0.78"
däck till bobcat,20,,0.51,1.00,,,,"0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.67,0.33,1.00,0.33,0.67"
däck till båtkärra,20,,0.60,1.00,,,,"0.14,0.00,0.14,1.00,0.14,0.14,0.29,0.14,0.14,1.00,0.14,0.14"
däck till hjullastare,20,,0.62,1.00,,,,"1.00,0.14,0.71,0.14,1.00,0.14,0.14,0.14,0.14,0.71,0.14,0.29"
däck till honda cr v,20,,0.51,0.97,,,,"0.11,0.11,0.11,0.56,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11"
däck till nissan qashqai,20,,0.55,1.00,,,,"0.11,0.11,0.44,0.22,0.11,0.11,1.00,0.56,0.11,1.00,0.11,0.78"
däck till volvo,20,,0.82,0.69,,,,"0.14,0.14,0.43,0.14,1.00,0.14,0.14,0.14,0.43,0.14,0.14,0.14"
däck toyota avensis,20,,0.52,0.97,,,,"0.20,1.00,0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.60,0.20"
däck vagnhärad,20,,0.51,0.16,,,,"0.25,0.25,1.00,0.25,0.25,0.50,0.50,0.25,0.25,0.75,0.25,0.50"
däck volvo xc70,20,,0.62,1.00,,,,"0.25,0.25,0.75,0.75,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.50"
däckställ för 4 däck,20,,0.67,1.00,,,,"0.11,0.22,0.44,0.11,0.33,0.11,0.33,0.11,0.33,0.33,0.11,1.00"
flogsta däck och bilverkstad,20,,1.18,0.17,,,,"0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.57,0.14,0.14,0.14,1.00"
ford däck,20,,0.75,0.45,,,,"0.11,0.11,0.33,1.00,0.22,0.11,0.11,0.11,0.33,0.11,0.22,1.00"
friktionsfria däck,20,,0.55,0.98,,,,"0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.56,0.11,0.11"
frontrunners däck,20,,1.01,1.00,,,,"1.00,0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.20"
fälgar och däck online,20,,1.46,1.00,,,,"1.00,0.29,0.29,0.57,0.14,0.29,0.71,0.14,0.29,0.71,0.14,0.14"
förvaring av däck,20,,1.43,1.00,,,,"0.11,0.56,0.11,0.11,0.22,0.22,0.44,0.11,0.11,0.11,1.00,0.22"
good year däck pris,20,,1.40,1.00,,,,"0.04,0.27,0.04,0.81,0.04,0.04,0.04,0.04,0.04,1.00,0.27,0.04"
goodyear tysta däck,20,,1.29,1.00,,,,"0.11,1.00,0.33,0.11,0.11,0.11,0.11,0.11,0.78,0.11,0.11,0.11"
gärdets däck och bilservice,20,,1.05,0.31,,,,"0.14,0.43,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.29,0.29,1.00"
hankook däck göteborg,20,,0.50,0.97,,,,"0.33,0.33,0.33,0.33,1.00,0.67,0.33,0.33,0.33,0.33,0.33,1.00"
hc däck örebro,20,,0.58,0.19,,,,"0.20,0.20,1.00,0.20,0.20,0.40,0.80,0.60,0.20,0.40,0.20,0.80"
hisingens däck och motor,20,,1.08,0.05,,,,"0.03,0.03,0.09,0.03,0.03,0.03,0.22,0.03,0.03,0.03,1.00,0.03"
hjultomten däck borås,20,,0.50,0.25,,,,"0.07,0.07,0.64,0.07,0.07,0.07,0.07,0.07,0.07,0.14,1.00,0.36"
hs däck,20,,0.76,0.16,,,,"0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25"
hs däck o bilservice,20,,0.82,0.16,,,,"0.36,0.50,1.00,0.07,0.21,0.07,0.64,0.36,0.07,0.07,0.79,0.29"
hur ska däck förvaras,20,,1.01,0.18,,,,"0.11,0.11,0.78,0.44,0.22,0.11,0.56,0.11,0.33,0.11,1.00,0.11"
hur slitet får ett däck på en moped vara,20,,0.53,0.07,,,,"0.01,0.06,0.01,0.19,0.15,1.00,0.19,0.07,0.03,0.01,0.06,0.06"
hyllie däck,20,,0.53,0.10,,,,"0.43,0.29,0.29,0.14,0.43,0.14,1.00,0.14,0.14,0.14,0.14,0.14"
hyra däck,20,,0.64,0.31,,,,"0.29,0.14,0.57,0.71,0.14,0.14,0.14,0.43,0.14,0.29,1.00,0.14"
högdalen däck,20,,0.81,0.57,,,,"0.29,0.14,0.14,0.14,0.14,0.14,0.29,0.29,0.43,0.14,1.00,0.14"
jonas bil och däck askersund,20,,0.80,0.08,,,,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00"
kelly däck,20,,0.59,0.79,,,,"0.60,0.20,0.20,0.60,1.00,0.40,0.20,0.20,0.20,0.20,0.20,0.40"
km däck upplands väsby,20,,1.36,0.07,,,,"0.18,0.27,0.18,0.27,0.09,0.09,0.36,0.09,0.27,1.00,1.00,0.09"
kostnad däck,20,,0.64,0.93,,,,"0.33,0.67,1.00,0.33,0.67,0.33,0.33,0.33,0.67,0.33,0.67,0.33"
köpa billiga däck online,20,,0.86,0.75,,,,"0.14,0.14,0.14,0.14,0.14,0.43,0.71,1.00,0.14,0.14,0.57,0.29"
köpa däck borås,20,,0.57,0.39,,,,"0.33,0.67,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33,0.33"
köpa däck i polen,20,,0.54,1.00,,,,"0.50,0.50,0.50,0.50,1.00,0.50,1.00,0.50,0.50,0.50,0.50,0.50"
köpa däck i stockholm,20,,0.90,1.00,,,,"0.20,0.40,0.20,0.20,0.20,0.20,0.20,0.40,1.00,0.20,0.20,1.00"
köpa däck järfälla,20,,0.58,0.14,,,,"1.00,0.20,0.20,0.20,0.20,0.40,0.40,0.20,0.20,0.20,1.00,0.80"
köpa däck luleå,20,,0.88,0.19,,,,"0.25,0.75,0.25,0.25,0.50,1.00,0.25,0.25,0.25,0.25,0.25,0.75"
köpa däck med klarna,20,,1.03,0.90,,,,"0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.60,0.20,0.20,0.20"
köpa däck täby,20,,0.55,0.10,,,,"0.00,0.00,0.00,0.20,0.40,0.20,0.60,0.20,0.20,0.20,0.40,1.00"
köpa däck uppsala,20,,0.84,0.81,,,,"0.06,0.06,1.00,0.65,0.12,0.06,0.06,0.18,0.29,0.12,0.82,0.06"
köpa däck vällingby,20,,0.77,0.89,,,,"0.14,0.29,0.29,1.00,0.29,0.29,0.14,0.14,0.29,1.00,0.14,0.14"
köpa däck västerås,20,,0.63,0.33,,,,"0.14,0.29,0.07,1.00,0.21,0.21,0.07,0.07,0.07,0.07,0.07,0.07"
köpa däck växjö,20,,0.71,0.65,,,,"0.20,0.20,0.20,1.00,0.20,0.40,0.20,1.00,0.20,0.20,0.20,0.20"
lagning av däck,20,,0.57,1.00,,,,"0.50,0.25,0.50,0.25,0.75,0.25,1.00,0.25,0.50,0.25,0.50,0.25"
langes däck,20,,0.62,0.21,,,,"0.20,1.00,0.40,0.20,0.60,0.20,0.40,0.20,0.20,0.20,0.20,1.00"
laufenn däck test,20,,0.62,1.00,,,,"0.25,0.25,1.00,0.50,0.25,0.25,0.25,0.25,0.50,0.25,0.25,0.25"
lidheds däck öppettider,20,,0.77,0.24,,,,"0.25,0.25,0.25,0.25,1.00,0.25,0.75,0.25,0.25,0.25,0.25,0.25"
lindas däck,20,,0.58,0.36,,,,"0.22,0.11,0.22,0.11,0.33,0.33,0.11,0.11,0.22,0.22,0.11,1.00"
livslängd däck,20,,0.54,0.11,,,,"0.25,1.00,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25"
lämna gamla däck,20,,1.11,0.22,,,,"0.14,0.29,0.14,0.14,0.29,0.43,0.14,0.29,0.14,0.29,1.00,0.29"
länna däck,20,,0.58,0.32,,,,"0.20,1.00,0.40,0.20,0.20,0.20,0.20,0.80,0.20,0.20,0.20,0.20"
mazda däck,20,,0.94,0.86,,,,"0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40"
mc däck online tyskland,20,,0.54,1.00,,,,"1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50"
mc däck veteran,20,,0.53,1.00,,,,"1.00,0.06,0.82,0.65,0.06,0.06,0.06,0.12,0.12,0.18,0.06,0.06"
mercedes benz däck,20,,0.80,1.00,,,,"0.25,0.25,0.25,0.25,0.25,0.50,0.25,1.00,0.50,0.25,0.25,0.50"
michelin däck lastbil,20,,0.71,1.00,,,,"1.00,0.14,0.14,0.29,0.14,0.57,0.14,0.14,0.14,0.71,0.14,0.29"
mönsterdjup på nya däck,20,,0.55,0.44,,,,"0.14,0.14,0.14,1.00,0.29,0.14,0.29,0.14,0.14,0.14,0.14,0.14"
nacka däck och bilverkstad,20,,0.74,0.09,,,,"0.20,0.80,1.00,0.20,0.20,0.20,0.20,0.80,0.20,0.20,0.20,0.20"
netto däck,20,,0.58,0.21,,,,"0.29,0.06,0.06,0.82,0.06,0.06,0.18,0.06,0.12,0.06,1.00,0.41"
nokian däck ab,20,,0.51,0.36,,,,"0.20,0.20,0.80,0.20,0.20,0.20,0.20,0.40,0.20,0.40,0.40,1.00"
när ska däcken bytas,20,,0.52,0.41,,,,"0.06,0.06,1.00,0.06,0.18,0.41,0.06,0.29,0.06,0.06,0.06,0.53"
när ska man byta däck mönsterdjup,20,,0.81,0.10,,,,"0.08,0.02,0.23,1.00,0.10,0.02,0.02,0.04,0.04,0.29,0.44,0.02"
okvista däck,20,,0.65,0.14,,,,"0.05,0.05,0.05,1.00,0.05,0.05,0.10,0.14,0.05,0.05,0.52,0.10"
olika dimensioner på däck,20,,0.65,0.23,,,,"0.09,0.09,0.09,1.00,0.09,0.36,0.09,0.18,0.27,0.09,0.64,0.64"
orminge däck,20,,0.89,0.09,,,,"0.25,0.25,0.50,0.25,0.25,0.25,0.25,1.00,0.25,0.50,0.25,0.50"
partille däck,20,,0.61,0.39,,,,"1.00,0.11,0.11,0.11,0.22,0.11,0.33,0.11,0.11,0.11,0.11,0.11"
passar däcken till min bil,20,,0.55,0.61,,,,"0.29,0.00,0.14,0.14,0.14,0.00,1.00,0.29,0.14,0.57,0.14,0.14"
prinus däck,20,,3.69,0.25,,,,"0.20,0.40,0.20,0.20,0.20,0.20,1.00,0.20,0.40,0.20,0.20,0.20"
prisjakt däck,20,,0.71,1.00,,,,"0.02,0.02,0.29,1.00,0.03,0.12,0.03,0.02,0.02,0.02,0.24,0.07"
punkteringsfria däck bugaboo donkey,20,,0.68,1.00,,,,"0.14,0.57,0.14,0.71,1.00,0.14,0.14,0.29,0.14,0.14,0.14,0.14"
påsar till däck,20,,0.83,1.00,,,,"0.14,0.14,0.14,0.29,0.14,0.57,0.14,0.14,0.14,0.14,0.14,1.00"
rawbike däck,20,,1.97,1.00,,,,"1.00,0.40,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.60,0.80"
razorback däck,20,,0.57,1.00,,,,"0.14,1.00,0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.29,0.14,0.14"
redback däck,20,,0.52,1.00,,,,"1.00,0.50,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.75"
redline däck,20,,1.34,1.00,,,,"0.20,0.60,0.40,0.20,0.20,0.20,0.20,1.00,0.20,0.20,1.00,0.20"
reflex däck,20,,0.62,0.85,,,,"1.00,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50"
renault master däck,20,,0.66,1.00,,,,"1.00,0.14,0.29,0.14,0.29,0.14,0.14,0.57,0.14,0.14,0.14,0.71"
riken däck,20,,0.58,1.00,,,,"1.00,0.50,0.75,0.25,0.25,0.25,1.00,0.25,0.25,0.25,0.50,0.50"
rimforsa däck,20,,0.72,0.19,,,,"0.11,0.11,0.11,0.22,0.56,0.11,1.00,0.11,0.11,0.33,0.22,0.22"
ringön däck,20,,0.93,0.20,,,,"0.44,0.11,1.00,0.56,0.11,0.11,0.11,0.11,0.22,0.11,0.22,0.11"
rosborgs däck & bilservice bds,20,,0.97,0.04,,,,"0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.67,0.67,0.33,0.67,0.33"
sava däck tillverkare,20,,0.59,1.00,,,,"0.14,0.14,1.00,0.71,1.00,0.14,0.29,0.14,0.29,1.00,0.14,0.14"
skåne däck helsingborg,20,,0.62,0.10,,,,"0.50,0.50,0.50,0.50,0.25,0.25,0.25,1.00,0.25,0.50,0.50,0.25"
slicks däck bil,20,,0.53,1.00,,,,"0.20,0.20,0.20,0.40,0.40,0.20,1.00,0.20,0.20,0.40,0.20,0.60"
solings däck,20,,0.51,0.19,,,,"0.71,0.29,0.29,0.14,0.14,1.00,1.00,0.14,0.14,0.29,0.14,0.57"
speedy däck limhamn,20,,1.14,0.19,,,,"0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.50,0.25,0.25,0.75,0.25"
studless däck,20,,0.61,1.00,,,,"0.43,0.14,0.14,0.14,0.43,0.14,0.14,0.14,0.43,1.00,0.14,0.57"
super däck,20,,0.84,0.10,,,,"0.40,0.40,0.20,1.00,0.60,0.20,0.40,0.80,0.20,0.20,0.60,0.20"
svennes däck,20,,0.70,0.09,,,,"0.14,0.43,0.14,0.05,0.10,0.10,0.10,0.24,0.10,0.05,1.00,0.33"
svenska däck,20,,0.78,0.77,,,,"0.09,0.09,1.00,0.09,0.09,0.09,0.09,0.82,0.09,0.09,0.09,0.18"
säkerhetskontroll däck,20,,0.56,0.05,,,,"0.80,0.20,0.60,0.40,0.20,0.20,0.20,0.20,0.80,0.20,1.00,1.00"
sätra däck öppettider,20,,0.58,0.18,,,,"0.00,0.00,0.20,0.20,0.20,1.00,0.80,0.20,0.00,0.00,1.00,0.20"
test däck,20,,0.60,0.60,,,,"0.50,0.25,1.00,0.75,0.75,0.50,0.75,0.50,0.50,0.25,0.25,0.25"
toyo däck kvalitet,20,,0.50,1.00,,,,"0.14,0.71,0.29,0.14,1.00,0.14,0.14,0.29,0.14,0.14,0.71,0.43"
triangle däck test,20,,0.56,1.00,,,,"0.04,0.04,0.42,0.54,0.12,0.27,0.04,0.04,0.04,0.81,1.00,0.04"
vad kostar nya däck,20,,0.59,0.86,,,,"0.14,0.14,0.43,0.29,0.29,0.14,0.29,0.14,0.14,1.00,0.14,0.71"
vad är sant för breda däck och bränsleförbrukningen,20,,0.74,0.09,,,,"0.14,0.57,0.14,0.57,0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00"
vadstena bil och däck,20,,0.77,0.21,,,,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50"
vaxholms däck,20,,0.91,0.08,,,,"0.02,0.02,0.03,0.36,0.05,0.02,0.02,0.02,0.02,0.29,1.00,0.02"
vinterdäck böter per däck,20,,0.65,0.09,,,,"0.06,0.06,0.06,1.00,0.18,0.12,0.06,0.06,0.24,0.12,0.06,0.06"
vinterdäck däck online,20,,0.67,0.97,,,,"1.00,0.00,0.00,0.33,0.00,0.00,1.00,0.33,0.67,0.33,0.33,0.67"
volvo däck erbjudande,20,,0.56,0.54,,,,"0.00,0.14,0.14,1.00,0.14,0.29,1.00,0.14,0.14,0.14,0.29,0.14"
volvo däck pris,20,,0.57,0.95,,,,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,1.00,0.20,0.20"
växjö däck öppettider,20,,0.52,0.33,,,,"0.11,0.11,1.00,0.11,0.11,0.22,0.11,1.00,0.11,0.11,0.11,0.22"
windforce däck,20,,0.50,1.00,,,,"0.02,0.02,0.29,0.29,1.00,0.02,0.35,0.02,0.10,0.02,0.02,0.02"
åkes däck tomelilla,20,,0.79,0.11,,,,"0.20,0.20,1.00,0.40,0.60,0.20,0.60,0.20,0.80,0.20,0.60,0.40"
året runt däck bra eller dåligt,20,,0.60,0.25,,,,"0.00,0.00,0.00,0.00,0.03,0.03,0.03,0.22,0.09,1.00,0.81,0.34"
året runt däck symbol,20,,0.56,1.00,,,,"0.14,1.00,0.14,0.29,0.14,0.14,0.43,0.14,0.14,0.14,0.14,0.14"
årsta däck och gummi,20,,0.64,0.54,,,,"0.22,0.11,0.56,0.11,0.56,0.33,0.33,0.11,0.11,0.11,1.00,0.33"
återförsäljare continental däck,20,,2.94,0.96,,,,"0.14,0.29,0.14,0.14,0.14,0.71,0.43,0.14,0.14,0.71,0.14,1.00"
örebro däck,20,,0.56,0.60,,,,"0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.40,0.20,0.20,1.00,0.80"
10 00 20 däck,10,,0.62,1.00,,,,"1.00,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.25,0.25"
10.00 20 däck,10,,0.60,1.00,,,,"0.01,0.03,0.01,0.01,0.01,0.03,0.01,0.08,1.00,0.01,0.01,0.08"
11.00 20 däck,10,,0.57,1.00,,,,"0.44,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.78,0.11,0.44,1.00"
12 däck,10,,0.56,1.00,,,,"0.14,0.14,0.43,0.29,1.00,0.14,0.29,0.14,0.14,0.14,1.00,0.29"
16 däck,10,,0.53,1.00,,,,"0.14,0.29,0.14,0.14,0.14,0.57,0.71,1.00,0.14,0.14,0.14,0.14"
16.9 30 däck,10,,0.60,1.00,,,,"0.11,0.11,0.44,1.00,0.22,0.22,0.11,0.22,0.56,0.11,0.22,0.11"
